iter	Logloss	Accuracy
0	0.6865149491	0.8065241845
1	0.6808094241	0.8121484814
2	0.6755094961	0.811023622
3	0.6720507087	0.8042744657
4	0.6667084147	0.8042744657
5	0.6623281925	0.8087739033
6	0.6574390444	0.8076490439
7	0.6540734367	0.8053993251
8	0.6493973083	0.8053993251
9	0.64439565	0.8053993251
10	0.63978584	0.8076490439
11	0.635011082	0.811023622
12	0.629809975	0.8132733408
13	0.6247847832	0.8132733408
14	0.6197235854	0.8155230596
15	0.6160961211	0.8143982002
16	0.611542791	0.8143982002
17	0.6076905361	0.8155230596
18	0.6047138222	0.8132733408
19	0.6012083527	0.811023622
20	0.5971688786	0.8143982002
21	0.5937087373	0.8143982002
22	0.5896614094	0.816647919
23	0.5866689529	0.8143982002
24	0.5835792182	0.8121484814
25	0.5804330447	0.8132733408
26	0.5767070356	0.8143982002
27	0.5735367355	0.8143982002
28	0.5698038579	0.8155230596
29	0.5663333001	0.8143982002
30	0.5633345091	0.8155230596
31	0.5605768231	0.8155230596
32	0.5572285991	0.8155230596
33	0.5542550595	0.8155230596
34	0.5524233531	0.8155230596
35	0.5494285532	0.8155230596
36	0.547537159	0.8155230596
37	0.5448940608	0.8143982002
38	0.5424431545	0.8143982002
39	0.5404190858	0.8155230596
40	0.538072361	0.8155230596
41	0.535453691	0.816647919
42	0.5338705496	0.816647919
43	0.5325640326	0.8155230596
44	0.5304410275	0.816647919
45	0.5275190759	0.816647919
46	0.5247326457	0.8155230596
47	0.5222876314	0.8155230596
48	0.5202407511	0.8155230596
49	0.5185438923	0.8155230596
50	0.5169244676	0.816647919
51	0.5154495513	0.816647919
52	0.5134641793	0.8155230596
53	0.510971567	0.8155230596
54	0.5091064283	0.8155230596
55	0.5068254257	0.816647919
56	0.5053570199	0.816647919
57	0.5038677455	0.816647919
58	0.5022380836	0.816647919
59	0.5002926323	0.816647919
60	0.4991407594	0.816647919
61	0.4974221329	0.816647919
62	0.495708633	0.816647919
63	0.4948846057	0.816647919
64	0.4939430517	0.816647919
65	0.4930852848	0.816647919
66	0.4915751896	0.816647919
67	0.4905629298	0.816647919
68	0.4887275412	0.816647919
69	0.48771225	0.816647919
70	0.4866971017	0.816647919
71	0.4852994895	0.816647919
72	0.4844195817	0.816647919
73	0.4832867611	0.816647919
74	0.4813599611	0.816647919
75	0.479498368	0.816647919
76	0.4777510282	0.816647919
77	0.4763993661	0.816647919
78	0.4751381545	0.816647919
79	0.4738432173	0.816647919
80	0.4729749952	0.816647919
81	0.4722847368	0.816647919
82	0.4714814147	0.816647919
83	0.470524173	0.816647919
84	0.4697155295	0.8177727784
85	0.4692327743	0.8177727784
86	0.4687534595	0.8177727784
87	0.4674792175	0.8177727784
88	0.4660099583	0.8177727784
89	0.4647692327	0.8177727784
90	0.4637324197	0.8188976378
91	0.4623664624	0.8188976378
92	0.4611992078	0.8177727784
93	0.4607408656	0.8177727784
94	0.4599467409	0.8188976378
95	0.4586708002	0.8188976378
96	0.4572768665	0.8188976378
97	0.4569154948	0.8177727784
98	0.4561960843	0.8177727784
99	0.4552188223	0.8188976378
100	0.454390566	0.8188976378
101	0.4535228172	0.8188976378
102	0.4529167854	0.8188976378
103	0.4525634523	0.8188976378
104	0.4515107413	0.8200224972
105	0.4506212236	0.8200224972
106	0.4497687035	0.8200224972
107	0.4489087766	0.8200224972
108	0.448613671	0.8200224972
109	0.4473916201	0.8200224972
110	0.4463972727	0.8200224972
111	0.4457111385	0.8200224972
112	0.4454368493	0.8200224972
113	0.4445246259	0.8200224972
114	0.4440144625	0.8200224972
115	0.443466361	0.8200224972
116	0.4426129335	0.8200224972
117	0.4416504923	0.8200224972
118	0.4413577538	0.8200224972
119	0.4407252653	0.8200224972
120	0.4401732045	0.8200224972
121	0.4399414037	0.8200224972
122	0.439000371	0.8200224972
123	0.4386428199	0.8211473566
124	0.4385985238	0.8200224972
125	0.4377712508	0.8211473566
126	0.4376141854	0.8211473566
127	0.4372483192	0.8211473566
128	0.4370653649	0.8211473566
129	0.4362719407	0.8233970754
130	0.435747404	0.8233970754
131	0.4352731463	0.822272216
132	0.4347486958	0.8211473566
133	0.4345615887	0.8211473566
134	0.4339736029	0.8233970754
135	0.4328911501	0.8245219348
136	0.4324887624	0.8233970754
137	0.4322701499	0.8233970754
138	0.4319108049	0.822272216
139	0.4313891616	0.822272216
140	0.4305501615	0.8233970754
141	0.4300775336	0.8245219348
142	0.4292792316	0.8245219348
143	0.4288107768	0.8256467942
144	0.4282435158	0.8256467942
145	0.4274841824	0.8256467942
146	0.4273070651	0.8256467942
147	0.4266255817	0.8267716535
148	0.4265995775	0.8267716535
149	0.4262845301	0.8278965129
150	0.4258086002	0.8278965129
151	0.4253769454	0.8290213723
152	0.4245509234	0.8301462317
153	0.4241725145	0.8278965129
154	0.4237239404	0.8267716535
155	0.4231921831	0.8290213723
156	0.4226736031	0.8290213723
157	0.4225355642	0.8290213723
158	0.4219227143	0.8278965129
159	0.4214808522	0.8278965129
160	0.4207540113	0.8278965129
161	0.4205754679	0.8278965129
162	0.4202911128	0.8290213723
163	0.4196738751	0.8290213723
164	0.4193341885	0.8290213723
165	0.4187046335	0.8290213723
166	0.41813049	0.8301462317
167	0.4175942752	0.8290213723
168	0.417269742	0.8290213723
169	0.4170557703	0.8290213723
170	0.4166152526	0.8301462317
171	0.4164899813	0.8301462317
172	0.4163299428	0.8301462317
173	0.4160946387	0.8301462317
174	0.4156891728	0.8301462317
175	0.4153484445	0.8301462317
176	0.4153336222	0.8301462317
177	0.4149373623	0.8301462317
178	0.4149231266	0.8301462317
179	0.4147983163	0.8301462317
180	0.4145994128	0.8312710911
181	0.4143121877	0.8323959505
