iter	Precision_SumError	Precision_SumWeight	Recall_SumError	Recall_SumWeight	F1_TP	F1_TP+FP	F1_TP+FN
0	214	260	214	340	214	260	340
1	214	267	214	340	214	267	340
2	214	267	214	340	214	267	340
3	229	298	229	340	229	298	340
4	226	290	226	340	226	290	340
5	229	293	229	340	229	293	340
6	229	293	229	340	229	293	340
7	229	293	229	340	229	293	340
8	229	293	229	340	229	293	340
9	229	293	229	340	229	293	340
10	229	293	229	340	229	293	340
11	229	293	229	340	229	293	340
12	228	286	228	340	228	286	340
13	228	286	228	340	228	286	340
14	228	284	228	340	228	284	340
15	228	288	228	340	228	288	340
16	228	286	228	340	228	286	340
17	228	284	228	340	228	284	340
18	228	288	228	340	228	288	340
19	228	288	228	340	228	288	340
20	228	288	228	340	228	288	340
21	228	288	228	340	228	288	340
22	228	286	228	340	228	286	340
23	228	287	228	340	228	287	340
24	228	289	228	340	228	289	340
25	229	292	229	340	229	292	340
26	228	289	228	340	228	289	340
27	229	292	229	340	229	292	340
28	229	290	229	340	229	290	340
29	228	287	228	340	228	287	340
30	229	290	229	340	229	290	340
31	229	290	229	340	229	290	340
32	229	290	229	340	229	290	340
33	228	286	228	340	228	286	340
34	228	287	228	340	228	287	340
35	228	285	228	340	228	285	340
36	228	286	228	340	228	286	340
37	228	285	228	340	228	285	340
38	228	285	228	340	228	285	340
39	228	284	228	340	228	284	340
40	228	284	228	340	228	284	340
41	228	284	228	340	228	284	340
42	228	285	228	340	228	285	340
43	228	286	228	340	228	286	340
44	228	285	228	340	228	285	340
45	228	285	228	340	228	285	340
46	228	285	228	340	228	285	340
47	228	284	228	340	228	284	340
48	228	284	228	340	228	284	340
49	228	285	228	340	228	285	340
50	228	284	228	340	228	284	340
51	228	285	228	340	228	285	340
52	228	285	228	340	228	285	340
53	228	284	228	340	228	284	340
54	228	285	228	340	228	285	340
55	228	284	228	340	228	284	340
56	228	284	228	340	228	284	340
57	228	284	228	340	228	284	340
58	228	284	228	340	228	284	340
59	228	284	228	340	228	284	340
60	228	284	228	340	228	284	340
61	228	284	228	340	228	284	340
62	228	284	228	340	228	284	340
63	228	284	228	340	228	284	340
64	228	284	228	340	228	284	340
65	228	284	228	340	228	284	340
66	228	284	228	340	228	284	340
67	228	284	228	340	228	284	340
68	228	284	228	340	228	284	340
69	228	284	228	340	228	284	340
70	228	284	228	340	228	284	340
71	228	284	228	340	228	284	340
72	228	284	228	340	228	284	340
73	228	284	228	340	228	284	340
74	228	284	228	340	228	284	340
75	228	284	228	340	228	284	340
76	228	284	228	340	228	284	340
77	228	284	228	340	228	284	340
78	228	284	228	340	228	284	340
79	228	284	228	340	228	284	340
80	228	284	228	340	228	284	340
81	228	284	228	340	228	284	340
82	228	284	228	340	228	284	340
83	228	284	228	340	228	284	340
84	228	284	228	340	228	284	340
85	229	285	229	340	229	285	340
86	229	285	229	340	229	285	340
87	229	285	229	340	229	285	340
88	228	284	228	340	228	284	340
89	228	284	228	340	228	284	340
90	229	285	229	340	229	285	340
91	228	284	228	340	228	284	340
92	229	285	229	340	229	285	340
93	229	285	229	340	229	285	340
94	228	284	228	340	228	284	340
95	228	284	228	340	228	284	340
96	228	284	228	340	228	284	340
97	228	284	228	340	228	284	340
98	229	285	229	340	229	285	340
99	228	284	228	340	228	284	340
100	229	285	229	340	229	285	340
101	228	284	228	340	228	284	340
102	228	284	228	340	228	284	340
103	228	284	228	340	228	284	340
104	228	284	228	340	228	284	340
105	228	284	228	340	228	284	340
106	228	283	228	340	228	283	340
107	228	283	228	340	228	283	340
108	228	283	228	340	228	283	340
109	228	283	228	340	228	283	340
110	228	283	228	340	228	283	340
111	228	283	228	340	228	283	340
112	228	283	228	340	228	283	340
113	228	283	228	340	228	283	340
114	228	283	228	340	228	283	340
115	228	283	228	340	228	283	340
116	228	283	228	340	228	283	340
117	228	283	228	340	228	283	340
118	228	283	228	340	228	283	340
119	228	283	228	340	228	283	340
120	228	283	228	340	228	283	340
121	228	283	228	340	228	283	340
122	228	283	228	340	228	283	340
123	228	283	228	340	228	283	340
124	228	283	228	340	228	283	340
125	228	283	228	340	228	283	340
126	228	283	228	340	228	283	340
127	228	283	228	340	228	283	340
128	228	283	228	340	228	283	340
129	228	283	228	340	228	283	340
130	229	284	229	340	229	284	340
131	229	284	229	340	229	284	340
132	229	284	229	340	229	284	340
133	229	284	229	340	229	284	340
134	228	282	228	340	228	282	340
135	230	284	230	340	230	284	340
136	230	284	230	340	230	284	340
137	230	284	230	340	230	284	340
138	230	284	230	340	230	284	340
139	230	284	230	340	230	284	340
140	230	284	230	340	230	284	340
141	231	285	231	340	231	285	340
142	230	284	230	340	230	284	340
143	230	284	230	340	230	284	340
144	231	285	231	340	231	285	340
145	231	285	231	340	231	285	340
146	231	285	231	340	231	285	340
147	231	285	231	340	231	285	340
148	231	285	231	340	231	285	340
149	231	285	231	340	231	285	340
150	231	285	231	340	231	285	340
