iter	Passed	Remaining
0	164	164156
1	190	94960
2	229	76251
3	236	58987
4	258	51504
5	276	45855
6	294	41733
7	305	37929
8	314	34612
9	331	32775
10	361	32487
11	377	31106
12	396	30079
13	413	29107
14	433	28487
15	455	27993
16	473	27357
17	487	26602
18	505	26079
19	531	26028
20	564	26315
21	576	25631
22	602	25572
23	626	25496
24	650	25371
25	678	25409
26	707	25489
27	739	25684
28	760	25473
29	779	25210
30	797	24929
31	806	24391
32	826	24231
33	848	24098
34	866	23902
35	889	23817
36	909	23660
37	929	23537
38	951	23438
39	973	23359
40	994	23259
41	1016	23187
42	1037	23090
43	1044	22694
44	1058	22465
45	1089	22585
46	1111	22543
47	1132	22453
48	1165	22629
49	1191	22629
50	1215	22618
51	1232	22475
52	1255	22426
53	1289	22594
54	1341	23045
55	1368	23075
56	1405	23247
57	1441	23411
58	1473	23501
59	1495	23423
60	1515	23335
61	1537	23262
62	1557	23170
63	1568	22939
64	1590	22883
65	1602	22670
66	1628	22681
67	1647	22579
68	1674	22591
69	1695	22532
70	1717	22475
71	1736	22385
72	1760	22352
73	1776	22233
74	1794	22127
75	1811	22021
76	1830	21947
77	1849	21856
78	1868	21789
79	1893	21780
80	1931	21919
81	1952	21856
82	1988	21972
83	2009	21916
84	2031	21865
85	2039	21675
86	2049	21511
87	2067	21422
88	2095	21454
89	2122	21456
90	2146	21441
91	2173	21454
92	2200	21458
93	2227	21466
94	2256	21493
95	2277	21450
96	2296	21382
97	2306	21224
98	2327	21182
99	2350	21150
100	2374	21130
101	2391	21051
102	2408	20972
103	2419	20844
104	2436	20770
105	2454	20701
106	2471	20626
107	2488	20554
108	2494	20391
109	2512	20326
110	2532	20285
111	2553	20247
112	2565	20138
113	2582	20073
114	2600	20014
115	2618	19954
116	2637	19903
117	2665	19921
118	2708	20053
119	2741	20105
120	2779	20188
121	2801	20160
122	2822	20126
123	2842	20083
124	2846	19927
125	2866	19882
126	2873	19753
127	2898	19746
128	2911	19660
129	2928	19601
130	2950	19570
131	2969	19527
132	2996	19531
133	3006	19427
134	3028	19403
135	3051	19388
136	3076	19379
137	3088	19293
138	3110	19267
139	3128	19218
140	3160	19252
141	3178	19206
142	3200	19179
143	3222	19153
144	3240	19106
145	3258	19058
146	3275	19006
147	3296	18978
148	3301	18855
149	3322	18826
150	3341	18789
151	3363	18765
152	3384	18737
153	3418	18778
154	3436	18735
155	3454	18687
156	3472	18646
157	3481	18554
158	3498	18505
159	3523	18499
160	3540	18452
161	3558	18407
162	3575	18361
163	3594	18321
164	3611	18278
165	3631	18245
166	3656	18236
167	3674	18198
168	3692	18156
169	3719	18158
170	3737	18117
171	3749	18047
172	3759	17973
173	3778	17937
174	3825	18035
175	3848	18020
176	3854	17920
177	3871	17878
178	3890	17844
179	3899	17762
180	3919	17735
181	3937	17698
182	3954	17656
183	3972	17617
184	3989	17574
185	4007	17536
186	4010	17437
187	4028	17398
188	4060	17425
189	4078	17386
190	4096	17351
191	4121	17344
192	4142	17321
193	4169	17320
194	4186	17281
195	4203	17243
196	4220	17204
197	4245	17195
198	4281	17234
199	4285	17141
200	4311	17140
201	4332	17117
202	4358	17113
203	4380	17092
204	4401	17069
205	4426	17062
206	4458	17080
207	4487	17086
208	4514	17086
209	4533	17053
210	4567	17077
211	4595	17081
212	4620	17073
213	4639	17039
214	4647	16970
215	4665	16934
216	4682	16894
217	4688	16818
218	4709	16796
219	4730	16772
220	4750	16745
221	4768	16710
222	4786	16678
223	4804	16642
224	4837	16661
225	4856	16632
226	4874	16597
227	4899	16588
228	4959	16697
229	4977	16663
230	5003	16658
231	5031	16655
232	5058	16652
233	5084	16643
234	5104	16617
235	5122	16582
236	5139	16546
237	5164	16535
238	5185	16512
239	5205	16483
240	5223	16451
241	5235	16397
242	5251	16360
243	5268	16324
244	5285	16288
245	5302	16252
246	5324	16231
247	5346	16210
248	5368	16190
249	5390	16171
250	5411	16149
251	5449	16175
252	5467	16143
253	5485	16112
254	5502	16077
255	5532	16079
256	5563	16083
257	5584	16061
258	5607	16042
259	5625	16011
260	5642	15975
261	5660	15943
262	5677	15909
263	5709	15916
264	5727	15885
265	5745	15852
266	5762	15819
267	5779	15785
268	5793	15744
269	5814	15721
270	5834	15695
271	5852	15662
272	5875	15646
273	5893	15615
274	5917	15601
275	5933	15565
276	5950	15531
277	5968	15501
278	5985	15468
279	6002	15435
280	6010	15378
281	6031	15356
282	6062	15360
283	6080	15328
284	6093	15287
285	6119	15278
286	6136	15245
287	6155	15218
288	6179	15202
289	6206	15194
290	6231	15183
291	6257	15172
292	6286	15168
293	6311	15155
294	6346	15166
295	6367	15144
296	6389	15122
297	6437	15164
298	6464	15156
299	6486	15134
300	6505	15107
301	6523	15077
302	6543	15051
303	6563	15026
304	6587	15009
305	6616	15005
306	6644	14998
307	6668	14982
308	6704	14993
309	6736	14993
310	6759	14975
311	6779	14949
312	6798	14922
313	6819	14897
314	6831	14855
315	6873	14877
316	6889	14844
317	6913	14827
318	6934	14804
319	6952	14773
320	6970	14743
321	6992	14722
322	7018	14711
323	7048	14706
324	7077	14698
325	7099	14677
326	7126	14667
327	7130	14609
328	7156	14594
329	7188	14593
330	7210	14572
331	7251	14590
332	7272	14565
333	7292	14541
334	7316	14523
335	7339	14503
336	7357	14475
337	7361	14417
338	7391	14412
339	7408	14381
340	7424	14348
341	7441	14318
342	7459	14288
343	7476	14256
344	7492	14225
345	7524	14221
346	7542	14194
347	7566	14176
348	7595	14167
349	7618	14148
350	7642	14131
351	7664	14109
352	7702	14117
353	7722	14093
354	7744	14071
355	7765	14048
356	7824	14091
357	7853	14083
358	7883	14075
359	7919	14079
360	7967	14102
361	7996	14093
362	8016	14068
363	8036	14042
364	8057	14017
365	8081	13998
366	8116	13998
367	8144	13987
368	8172	13974
369	8197	13958
370	8226	13947
371	8256	13937
372	8280	13919
373	8306	13902
374	8329	13883
375	8356	13868
376	8391	13866
377	8410	13840
378	8434	13820
379	8470	13820
380	8478	13774
381	8516	13777
382	8540	13759
383	8562	13736
384	8597	13733
385	8616	13705
386	8635	13678
387	8654	13650
388	8663	13607
389	8698	13604
390	8715	13574
391	8739	13555
392	8780	13561
393	8806	13545
394	8823	13514
395	8847	13494
396	8872	13476
397	8902	13465
398	8948	13478
399	8963	13444
400	8980	13414
401	9000	13389
402	9032	13381
403	9053	13355
404	9072	13328
405	9099	13312
406	9118	13286
407	9140	13263
408	9182	13268
409	9212	13256
410	9238	13239
411	9264	13221
412	9283	13194
413	9302	13167
414	9317	13134
415	9347	13122
416	9370	13100
417	9392	13077
418	9418	13059
419	9490	13105
420	9494	13057
421	9515	13032
422	9537	13009
423	9560	12988
424	9582	12964
425	9607	12945
426	9636	12932
427	9684	12942
428	9709	12923
429	9726	12893
430	9745	12866
431	9768	12844
432	9781	12808
433	9799	12780
434	9825	12762
435	9851	12743
436	9885	12736
437	9903	12707
438	9929	12689
439	9939	12650
440	9968	12635
441	9984	12604
442	10015	12593
443	10041	12573
444	10061	12549
445	10080	12521
446	10099	12494
447	10117	12465
448	10134	12436
449	10154	12410
450	10177	12388
451	10197	12362
452	10216	12336
453	10237	12312
454	10248	12275
455	10269	12251
456	10289	12225
457	10306	12197
458	10323	12168
459	10341	12139
460	10366	12120
461	10388	12097
462	10409	12072
463	10433	12052
464	10463	12039
465	10495	12027
466	10524	12011
467	10549	11992
468	10573	11971
469	10600	11953
470	10609	11916
471	10626	11887
472	10643	11859
473	10675	11846
474	10705	11832
475	10724	11806
476	10742	11778
477	10753	11742
478	10759	11703
479	10784	11682
480	10800	11654
481	10809	11617
482	10829	11592
483	10849	11566
484	10859	11531
485	10867	11493
486	10892	11474
487	10936	11474
488	10956	11449
489	10996	11444
490	11006	11410
491	11027	11385
492	11044	11358
493	11062	11330
494	11083	11307
495	11113	11292
496	11132	11266
497	11151	11241
498	11170	11215
499	11192	11192
500	11220	11175
501	11246	11156
502	11277	11143
503	11315	11135
504	11330	11106
505	11377	11107
506	11408	11093
507	11440	11079
508	11451	11046
509	11472	11022
510	11493	10998
511	11514	10974
512	11555	10969
513	11605	10973
514	11623	10946
515	11653	10930
516	11677	10909
517	11705	10892
518	11725	10867
519	11761	10856
520	11780	10830
521	11804	10809
522	11817	10778
523	11837	10753
524	11844	10716
525	11863	10690
526	11882	10664
527	11901	10638
528	11919	10612
529	11935	10584
530	11952	10557
531	11971	10531
532	11993	10508
533	12015	10485
534	12036	10461
535	12055	10435
536	12073	10409
537	12092	10383
538	12097	10347
539	12117	10321
540	12157	10314
541	12183	10295
542	12194	10263
543	12229	10250
544	12257	10233
545	12290	10219
546	12320	10203
547	12348	10185
548	12374	10165
549	12396	10142
550	12421	10121
551	12447	10102
552	12472	10081
553	12494	10058
554	12519	10038
555	12553	10024
556	12560	9989
557	12583	9967
558	12608	9947
559	12630	9924
560	12656	9904
561	12667	9872
562	12689	9849
563	12707	9823
564	12724	9796
565	12742	9770
566	12767	9750
567	12792	9729
568	12815	9707
569	12837	9684
570	12861	9663
571	12885	9641
572	12917	9626
573	12948	9610
574	12968	9585
575	12987	9560
576	13023	9547
577	13056	9532
578	13082	9512
579	13103	9488
580	13122	9463
581	13128	9429
582	13147	9403
583	13151	9368
584	13175	9346
585	13199	9325
586	13230	9308
587	13262	9292
588	13314	9290
589	13349	9276
590	13384	9262
591	13409	9241
592	13428	9216
593	13450	9193
594	13471	9169
595	13494	9147
596	13503	9115
597	13524	9091
598	13545	9067
599	13569	9046
600	13607	9034
601	13633	9013
602	13673	9002
603	13706	8986
604	13717	8955
605	13746	8937
606	13776	8919
607	13794	8893
608	13815	8870
609	13838	8847
610	13844	8814
611	13861	8787
612	13882	8764
613	13911	8745
614	13929	8720
615	13947	8694
616	13966	8669
617	13983	8643
618	14000	8617
619	14018	8591
620	14040	8568
621	14057	8543
622	14082	8521
623	14103	8498
624	14125	8475
625	14142	8449
626	14151	8418
627	14160	8387
628	14202	8377
629	14221	8352
